,PRICE_NEW,BRANDNAME,KM_INT,FUEL,BODY,GEARBOX,DRIVE,COLOR,AGE,ENGINERANGE
415,640000,Tata,100000.0,Petrol,Sedan,Automatic,2WD,Gray,17,1001-1500(cc)
418,650000,Tata,138000.0,Diesel,SUV,Manual,2WD,Silver,17,1501-2000(cc)
419,500000,Tata,115000.0,Diesel,Sedan,Manual,2WD,Silver,17,1001-1500(cc)
422,800000,Tata,40000.0,Diesel,SUV,Manual,2WD,Silver,16,1501-2000(cc)
423,350000,Tata,54000.0,Diesel,Hatchback,Automatic,2WD,Silver,16,1001-1500(cc)
424,450000,Tata,60000.0,Petrol,Hatchback,Manual,2WD,Silver,16,1001-1500(cc)
425,800000,Tata,99000.0,Diesel,SUV,Manual,2WD,Red,15,2001-2500(cc)
426,425000,Tata,60000.0,Diesel,Pickup,Manual,2WD,White,15,2901-above(cc)
427,1075000,Tata,55100.0,Diesel,SUV,Manual,4WD,White,15,1501-2000(cc)
428,650000,Tata,60000.0,Diesel,Hatchback,Manual,2WD,Blue,14,1001-1500(cc)
429,450000,Tata,108496.0,Diesel,Pickup,Manual,2WD,Other Colors,13,0-1000(cc)
430,310000,Tata,31000.0,Diesel,Hatchback,Manual,2WD,Gray,14,0-1000(cc)
431,600000,Tata,90000.0,Diesel,Pickup,Manual,2WD,White,13,2901-above(cc)
433,800000,Tata,80000.0,Diesel,Hatchback,Manual,2WD,Blue,13,1001-1500(cc)
434,735000,Tata,95000.0,Diesel,Hatchback,Automatic,2WD,Brown,13,1001-1500(cc)
438,799999,Tata,45058.0,Diesel,Sedan,Automatic,2WD,Silver,13,1001-1500(cc)
440,1150000,Tata,55000.0,Diesel,SUV,Manual,2WD,Other Colors,12,2001-2500(cc)
442,650000,Tata,176000.0,Diesel,Hatchback,Automatic,2WD,Brown,12,1001-1500(cc)
443,1100000,Tata,65000.0,Diesel,Hatchback,Manual,2WD,Other Colors,12,1501-2000(cc)
445,400000,Tata,65000.0,Petrol,Hatchback,Manual,2WD,Red,12,0-1000(cc)
447,2500000,Tata,50000.0,Diesel,Pickup,Automatic,2WD,White,12,2901-above(cc)
448,425000,Tata,79000.0,Diesel,Pickup,Manual,2WD,White,12,1001-1500(cc)
449,400000,Tata,53000.0,Petrol,Hatchback,Manual,2WD,Other Colors,12,0-1000(cc)
451,350000,Tata,60000.0,Petrol,Hatchback,Manual,2WD,Other Colors,11,0-1000(cc)
452,1350000,Tata,62000.0,Diesel,SUV,Manual,4WD,Maroon,11,2501-2900(cc)
455,340000,Tata,75000.0,Petrol,Hatchback,Manual,2WD,Red,11,0-1000(cc)
